#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2013 08 26 00 50 230  4.0  4.0   0.5     5   3.9 239 1011.0  16.4  13.2    MM   MM +0.4    MM
2013 08 25 23 50 240  5.0  6.0   0.6     5   3.9 212 1010.6  17.0  13.2    MM   MM -0.3    MM
2013 08 25 22 50 280  2.0  3.0   0.6     5   4.0 190 1010.8  16.8  13.2    MM   MM +0.0    MM
2013 08 25 21 50 210  5.0  5.0   0.7     5   4.3 222 1010.6  16.6  13.1    MM   MM -0.5    MM
2013 08 25 20 50 200  4.0  4.0   0.8     5   4.1 197 1010.9  15.9  13.1    MM   MM +0.0    MM
2013 08 25 19 50 230  6.0  7.0   1.0     5   4.3 212 1011.0  16.7  13.0    MM   MM -0.5    MM
2013 08 25 18 50 240  7.0  8.0   1.0     6   4.5 202 1011.1  17.0  13.0    MM   MM -0.8    MM
2013 08 25 17 50 250  4.0  5.0   1.0     5   4.5 204 1010.9  16.5  13.0    MM   MM -1.2    MM
2013 08 25 16 50 230  5.0  6.0   1.1     5   4.6 211 1011.5  16.4  13.0    MM   MM +0.0    MM
2013 08 25 15 50 230  5.0  6.0   1.0     6   4.5 186 1011.9  16.1  13.0    MM   MM +1.0    MM
2013 08 25 14 50 270  4.0  4.0   1.2     6   4.6 198 1012.1  15.4  13.0    MM   MM   MM    MM
2013 08 25 13 50 260  5.0  6.0   1.1     6   4.6 174 1011.6  16.5  13.0    MM   MM   MM    MM
2013 08 25 12 50 240  9.0 10.0    MM    MM    MM  MM 1010.9  17.2  12.9    MM   MM +0.5    MM
2013 08 25 09 50 210  7.0  8.0   1.0     6   4.3 156 1010.4  16.3  12.9    MM   MM -1.8    MM
2013 08 25 08 50 180  8.0  9.0   1.2     6   4.4 156 1010.7  16.0  13.0    MM   MM -2.6    MM
2013 08 25 07 50 180  8.0 10.0   1.1     6   4.3 152 1011.1  16.0  12.9    MM   MM -2.3    MM
2013 08 25 06 50 180  8.0  9.0   1.2     5   4.6 151 1012.2  16.0  12.7    MM   MM -1.8    MM
2013 08 25 05 50 170  8.0  9.0   1.2     6   4.4 146 1013.3  15.1  12.5    MM   MM -0.8    MM
